t,type,direction,price,mid,pnl,is_win
298,noise,sell,99.41929413148658,99.68929413148658,0.269999999999996,True
299,noise,sell,99.49058034337047,99.77058034337047,0.28000000000000114,True
300,noise,sell,99.54354322756284,99.83354322756283,0.28999999999999204,True
301,noise,buy,99.6506437264706,99.75064372647061,-0.10000000000000853,False
302,noise,buy,99.60462562245091,99.69462562245091,-0.09000000000000341,False
303,noise,buy,99.68935498296322,99.76935498296324,-0.0800000000000125,False
304,noise,buy,99.76039200950657,99.83039200950658,-0.07000000000000739,False
305,noise,buy,99.76830185011016,99.82830185011017,-0.060000000000002274,False
306,noise,sell,99.59003458844104,99.84003458844104,0.25,True
307,noise,sell,99.7078010780199,99.96780107801989,0.2599999999999909,True
308,noise,sell,99.63864393913632,99.90864393913631,0.269999999999996,True
309,noise,sell,99.68335367725331,99.96335367725331,0.28000000000000114,True
310,noise,sell,99.65313441200993,99.94313441200993,0.28999999999999204,True
311,noise,sell,99.62136629168721,99.9213662916872,0.29999999999999716,True
312,noise,sell,99.72124397688594,100.03124397688593,0.30999999999998806,True
313,informed,buy,99.99378561178473,100.11378561178473,-0.12000000000000455,False
314,noise,buy,100.0851365753848,100.1951365753848,-0.10999999999999943,False
315,noise,buy,100.22568445610021,100.32568445610022,-0.10000000000000853,False
316,noise,buy,100.23778484026349,100.32778484026349,-0.09000000000000341,False
317,noise,sell,100.11598013739298,100.39598013739298,0.28000000000000114,True
318,noise,sell,100.07495346173364,100.36495346173363,0.28999999999999204,True
319,noise,sell,100.09737009698249,100.39737009698248,0.29999999999999716,True
320,noise,buy,100.27435579154572,100.38435579154572,-0.10999999999999943,False
321,noise,sell,100.09405538804499,100.39405538804499,0.29999999999999716,True
322,noise,sell,100.1435710905887,100.45357109058868,0.30999999999998806,True
323,noise,sell,100.05174902226534,100.37174902226533,0.3199999999999932,True
324,noise,buy,100.45098774983387,100.58098774983388,-0.13000000000000966,False
325,noise,sell,100.16038601168391,100.4803860116839,0.3199999999999932,True
326,noise,buy,100.22896715040513,100.35896715040514,-0.13000000000000966,False
327,noise,buy,100.35477823775514,100.47477823775515,-0.12000000000000455,False
328,noise,buy,100.44394450715144,100.55394450715144,-0.10999999999999943,False
329,noise,buy,100.51635648885664,100.61635648885665,-0.10000000000000853,False
330,noise,sell,100.38919103978309,100.67919103978308,0.28999999999999204,True
331,informed,buy,100.57796636249837,100.67796636249838,-0.10000000000000853,False
332,noise,buy,100.49824092534979,100.5882409253498,-0.09000000000000341,False
333,noise,sell,100.31582138116917,100.59582138116917,0.28000000000000114,True
334,noise,sell,100.23810521001798,100.52810521001797,0.28999999999999204,True
335,noise,buy,100.52561718335974,100.62561718335975,-0.10000000000000853,False
336,noise,sell,100.32091144520955,100.61091144520954,0.28999999999999204,True
337,noise,buy,100.42836172553028,100.52836172553029,-0.10000000000000853,False
338,informed,buy,100.40622314136499,100.496223141365,-0.09000000000000341,False
339,noise,buy,100.45751628679254,100.53751628679255,-0.0800000000000125,False
341,noise,sell,100.12892179195552,100.39892179195552,0.269999999999996,True
342,noise,buy,100.34329051310469,100.4232905131047,-0.0800000000000125,False
343,noise,sell,100.17778717021558,100.44778717021558,0.269999999999996,True
345,noise,sell,100.06998902211663,100.34998902211663,0.28000000000000114,True
347,noise,buy,100.13838558170265,100.22838558170265,-0.09000000000000341,False
348,noise,sell,99.807639204265,100.087639204265,0.28000000000000114,True
349,informed,buy,99.92579478213976,100.01579478213976,-0.09000000000000341,False
350,noise,sell,99.71445006696858,99.99445006696858,0.28000000000000114,True
351,noise,sell,99.7355408235284,100.02554082352839,0.28999999999999204,True
352,noise,buy,100.07307644522334,100.17307644522334,-0.10000000000000853,False
353,informed,buy,100.16884240754354,100.25884240754354,-0.09000000000000341,False
354,informed,buy,100.16284855454718,100.2428485545472,-0.0800000000000125,False
355,noise,sell,99.97094693375693,100.24094693375693,0.269999999999996,True
356,noise,sell,99.86069399729315,100.14069399729316,0.28000000000000114,True
357,informed,buy,100.04884268369392,100.13884268369392,-0.09000000000000341,False
358,noise,buy,100.0299768198019,100.10997681980191,-0.0800000000000125,False
359,noise,buy,100.07224867583572,100.14224867583573,-0.07000000000000739,False
360,informed,buy,99.9995255814805,100.0595255814805,-0.060000000000002274,False
361,noise,sell,99.86146023290462,100.11146023290462,0.25,True
362,noise,buy,100.20473412420488,100.26473412420488,-0.060000000000002274,False
363,noise,buy,100.20385810935917,100.25385810935919,-0.05000000000001137,False
364,informed,buy,100.25402928156907,100.29402928156908,-0.04000000000000625,False
367,noise,buy,100.31533088173265,100.34533088173265,-0.030000000000001137,False
370,noise,buy,100.25905675328016,100.27905675328017,-0.020000000000010232,False
372,noise,buy,100.3213075998306,100.33130759983061,-0.010000000000005116,False
373,noise,sell,100.27642196061012,100.47642196061011,0.19999999999998863,True
374,noise,sell,100.36234904321864,100.57234904321864,0.20999999999999375,True
375,noise,buy,100.76766728896978,100.78766728896979,-0.020000000000010232,False
376,noise,sell,100.50093253268099,100.71093253268099,0.20999999999999375,True
377,noise,sell,100.57816459635305,100.79816459635305,0.21999999999999886,True
